title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
シンデレラ城,シンデレラ城（Cinderella Castle）は、東京ディズニーランドのシンボルであるランドマーク。最高地点の高さは51メートルで、頭頂部には園内業務用無線のアンテナが設置されている。 ,35.63209422,139.8808906,large,#FF0000,#FFFFFF,2
営旭町団地,北海道函館市旭町1-14,41.7656663,140.7289806,large,#FF0001,#FFFFFF,2
道営住宅旭森団地１号棟,北海道函館市旭町8-1,41.76750772,140.7271259,large,#FF0002,#FFFFFF,2
安浦稲荷神社境内,北海道函館市安浦町302,41.91473659,140.9593307,large,#FF0003,#FFFFFF,2
もと臼尻小学校グラウンド,北海道函館市臼尻町595,41.93057757,140.9406804,large,#FF0004,#FFFFFF,2
臼尻町６０番地裏 高台（尾札部バイパス）,北海道函館市臼尻町60,41.92687148,140.9492002,large,#FF0005,#FFFFFF,2
南茅部スポーツセンター,北海道函館市臼尻町604-1,41.93193267,140.939788,large,#FF0006,#FFFFFF,2
函館港湾合同庁舎,北海道函館市海岸町24-4,41.78267232,140.7244928,large,#FF0007,#FFFFFF,2
戸井学園,北海道函館市釜谷町227,41.73853947,140.9316806,large,#FF0008,#FFFFFF,2
公立はこだて未来大学,北海道函館市亀田中野町116-2,41.84175816,140.7669862,large,#FF0009,#FFFFFF,2
キッズ・サポート＆プロテクト体育館,北海道函館市亀田中野町335-1,41.86183945,140.7810219,large,#FF0010,#FFFFFF,2
ボヌール・ピエス,北海道函館市亀田町6-39,41.7941972,140.7328636,large,#FF0011,#FFFFFF,2
興禅寺,北海道函館市亀尾町39,41.79442818,140.8577171,large,#FF0012,#FFFFFF,2
万年橋小学校,北海道函館市吉川町6-22,41.79594962,140.7305646,large,#FF0013,#FFFFFF,2
シャトーム吉川町,北海道函館市吉川町7-6,41.79513397,140.7290338,large,#FF0014,#FFFFFF,2
桔梗小学校,北海道函館市桔梗1-13-2,41.83127054,140.7280459,large,#FF0015,#FFFFFF,2
中の沢小学校,北海道函館市桔梗5-25-5,41.849646,140.7335145,large,#FF0016,#FFFFFF,2
